osmid,y,x,highway,street_count,ref,geometry
199732,48.2086619,16.3601365,traffic_signals,4,,POINT (16.3601365 48.2086619)
199735,48.2068359,16.3558556,traffic_signals,4,,POINT (16.3558556 48.2068359)
199736,48.2076973,16.3553748,,3,,POINT (16.3553748 48.2076973)
199739,48.2140926,16.3592592,,3,,POINT (16.3592592 48.2140926)
199740,48.214422,16.3582651,,4,,POINT (16.3582651 48.214422)
199744,48.2135166,16.3571308,,4,,POINT (16.3571308 48.2135166)
199745,48.2133903,16.358084,,4,,POINT (16.358084 48.2133903)
199746,48.2132767,16.3590241,,3,,POINT (16.3590241 48.2132767)
199747,48.2124349,16.3588007,traffic_signals,4,,POINT (16.3588007 48.2124349)
199748,48.2125633,16.3578329,traffic_signals,4,,POINT (16.3578329 48.2125633)
199750,48.212794,16.3560356,,3,,POINT (16.3560356 48.212794)
199751,48.2118784,16.3558256,traffic_signals,4,,POINT (16.3558256 48.2118784)
199752,48.2117779,16.3566008,traffic_signals,5,,POINT (16.3566008 48.2117779)
199753,48.2116546,16.3575637,traffic_signals,4,,POINT (16.3575637 48.2116546)
199754,48.2115248,16.3585509,,4,,POINT (16.3585509 48.2115248)
199755,48.2098801,16.3581039,,4,,POINT (16.3581039 48.2098801)
199758,48.2102275,16.3554663,traffic_signals,3,,POINT (16.3554663 48.2102275)
199759,48.2136341,16.3562095,,3,,POINT (16.3562095 48.2136341)
199762,48.20937,16.3521931,traffic_signals,4,,POINT (16.3521931 48.20937)
377970,48.1981355,16.3023982,traffic_signals,4,,POINT (16.3023982 48.1981355)
377988,48.1990315,16.3133654,,3,,POINT (16.3133654 48.1990315)
377989,48.1990842,16.3190184,traffic_signals,5,,POINT (16.3190184 48.1990842)
377990,48.1986426,16.3247453,traffic_signals,3,,POINT (16.3247453 48.1986426)
377991,48.2009259,16.3331314,,3,,POINT (16.3331314 48.2009259)
377992,48.2015417,16.3370453,,4,,POINT (16.3370453 48.2015417)
378033,48.1860446,16.320393,,4,,POINT (16.320393 48.1860446)
378034,48.1848954,16.3198001,,4,,POINT (16.3198001 48.1848954)
378036,48.1880344,16.3134706,,4,,POINT (16.3134706 48.1880344)
378059,48.1880784,16.2993785,,3,,POINT (16.2993785 48.1880784)
378060,48.1861383,16.3022512,,3,,POINT (16.3022512 48.1861383)
378441,48.2018467,16.3405052,,4,,POINT (16.3405052 48.2018467)
378443,48.2021452,16.3490726,traffic_signals,3,,POINT (16.3490726 48.2021452)
378450,48.2023981,16.354632,,3,,POINT (16.354632 48.2023981)
378458,48.2007916,16.3373108,,4,,POINT (16.3373108 48.2007916)
378459,48.1983967,16.3390104,,5,,POINT (16.3390104 48.1983967)
378460,48.2001259,16.350701,,4,,POINT (16.350701 48.2001259)
378461,48.2022078,16.35025,,3,,POINT (16.35025 48.2022078)
378462,48.1982148,16.3382648,,5,,POINT (16.3382648 48.1982148)
378464,48.1957221,16.3390429,,4,,POINT (16.3390429 48.1957221)
378465,48.1982805,16.3282293,traffic_signals,4,,POINT (16.3282293 48.1982805)
378466,48.2042155,16.3375265,,4,,POINT (16.3375265 48.2042155)
378467,48.2041797,16.3367537,,4,,POINT (16.3367537 48.2041797)
378468,48.2061872,16.3365797,,4,,POINT (16.3365797 48.2061872)
378469,48.2061526,16.3373996,,4,,POINT (16.3373996 48.2061526)
378471,48.2093899,16.3385974,,4,,POINT (16.3385974 48.2093899)
378472,48.2115728,16.338667,,3,,POINT (16.338667 48.2115728)
378476,48.2084421,16.3048253,traffic_signals,7,,POINT (16.3048253 48.2084421)
378477,48.2046106,16.3034883,,4,,POINT (16.3034883 48.2046106)
378478,48.202375,16.3027983,traffic_signals,5,,POINT (16.3027983 48.202375)
378482,48.2003351,16.3025955,,3,,POINT (16.3025955 48.2003351)
378547,48.2096909,16.3053768,,3,,POINT (16.3053768 48.2096909)
378551,48.2095171,16.3064502,,4,,POINT (16.3064502 48.2095171)
378556,48.2107098,16.3068608,,4,,POINT (16.3068608 48.2107098)
378571,48.2103646,16.3091806,,4,,POINT (16.3091806 48.2103646)
378582,48.2102007,16.3102401,traffic_signals,4,,POINT (16.3102401 48.2102007)
378588,48.2114839,16.3106851,traffic_signals,4,,POINT (16.3106851 48.2114839)
378593,48.2116437,16.3096171,,4,,POINT (16.3096171 48.2116437)
378601,48.2140162,16.3022701,,3,,POINT (16.3022701 48.2140162)
378608,48.2122058,16.2994714,,3,,POINT (16.2994714 48.2122058)
378618,48.2072468,16.3125665,,3,,POINT (16.3125665 48.2072468)
378627,48.2052981,16.3254263,,4,,POINT (16.3254263 48.2052981)
378628,48.209328,16.3247731,,4,,POINT (16.3247731 48.209328)
378629,48.2106064,16.3252037,traffic_signals,4,,POINT (16.3252037 48.2106064)
378630,48.211218,16.3254075,,3,,POINT (16.3254075 48.211218)
378642,48.21031,16.3271266,,4,,POINT (16.3271266 48.21031)
378653,48.2090382,16.3266715,,4,,POINT (16.3266715 48.2090382)
378655,48.2077626,16.3262565,,4,,POINT (16.3262565 48.2077626)
378671,48.2048546,16.3282896,,4,,POINT (16.3282896 48.2048546)
378675,48.2073271,16.3291379,traffic_signals,4,,POINT (16.3291379 48.2073271)
378680,48.2085944,16.3295803,,4,,POINT (16.3295803 48.2085944)
378691,48.2080505,16.3243315,traffic_signals,4,,POINT (16.3243315 48.2080505)
378692,48.2042232,16.3324159,,3,,POINT (16.3324159 48.2042232)
378693,48.2152353,16.3405357,crossing,4,,POINT (16.3405357 48.2152353)
378696,48.2173242,16.3416615,,4,,POINT (16.3416615 48.2173242)
378699,48.2172288,16.3424207,,4,,POINT (16.3424207 48.2172288)
378700,48.2168208,16.3445443,,4,,POINT (16.3445443 48.2168208)
378701,48.2174711,16.3462268,,3,,POINT (16.3462268 48.2174711)
378720,48.2177309,16.3498011,,3,,POINT (16.3498011 48.2177309)
378721,48.2188901,16.3516278,,4,,POINT (16.3516278 48.2188901)
378727,48.2250679,16.3498014,,4,,POINT (16.3498014 48.2250679)
378728,48.2236212,16.34944,,3,,POINT (16.34944 48.2236212)
378729,48.2226276,16.3481582,,3,,POINT (16.3481582 48.2226276)
378809,48.2347928,16.3628426,,3,,POINT (16.3628426 48.2347928)
378837,48.2346209,16.3624172,,3,,POINT (16.3624172 48.2346209)
378839,48.2347415,16.3621183,,3,,POINT (16.3621183 48.2347415)
378841,48.2353741,16.3589731,,3,,POINT (16.3589731 48.2353741)
378914,48.2351374,16.3675653,,4,,POINT (16.3675653 48.2351374)
378932,48.2340117,16.3715203,,4,,POINT (16.3715203 48.2340117)
378950,48.2335616,16.365908,traffic_signals,4,,POINT (16.365908 48.2335616)
378952,48.2351092,16.3702451,crossing,4,,POINT (16.3702451 48.2351092)
378953,48.2410057,16.371785,,3,,POINT (16.371785 48.2410057)
378954,48.2315686,16.3706255,,4,,POINT (16.3706255 48.2315686)
378956,48.2317324,16.3720339,,3,,POINT (16.3720339 48.2317324)
378957,48.2332771,16.3747492,,4,,POINT (16.3747492 48.2332771)
378958,48.2338661,16.3764681,,4,,POINT (16.3764681 48.2338661)
378960,48.2351265,16.3756962,,3,,POINT (16.3756962 48.2351265)
378965,48.2389589,16.388938,traffic_signals,3,,POINT (16.388938 48.2389589)
378967,48.2420154,16.3743759,,3,,POINT (16.3743759 48.2420154)
378968,48.2422651,16.3743505,,4,,POINT (16.3743505 48.2422651)
378973,48.23435,16.3941518,traffic_signals,4,,POINT (16.3941518 48.23435)
378982,48.2055622,16.4312449,traffic_signals,4,,POINT (16.4312449 48.2055622)
378985,48.202609,16.4302663,,3,,POINT (16.4302663 48.202609)
378987,48.1935012,16.4170619,,3,,POINT (16.4170619 48.1935012)
379014,48.1906918,16.4131768,motorway_junction,4,,POINT (16.4131768 48.1906918)
379092,48.2481803,16.3937019,motorway_junction,3,,POINT (16.3937019 48.2481803)
379247,48.1883148,16.4236455,,3,,POINT (16.4236455 48.1883148)
380093,48.2331045,16.3732779,,4,,POINT (16.3732779 48.2331045)
380094,48.2329165,16.3717933,,4,,POINT (16.3717933 48.2329165)
381169,48.168478,16.3031991,,4,,POINT (16.3031991 48.168478)
381170,48.1679221,16.3048556,,3,,POINT (16.3048556 48.1679221)
381173,48.1673816,16.3076971,,4,,POINT (16.3076971 48.1673816)
381176,48.1635523,16.3052881,,4,,POINT (16.3052881 48.1635523)
381178,48.1624136,16.3086195,,3,,POINT (16.3086195 48.1624136)
381179,48.1616127,16.3072322,,3,,POINT (16.3072322 48.1616127)
381189,48.1712727,16.3044973,,3,,POINT (16.3044973 48.1712727)
381192,48.1741471,16.2995021,,3,,POINT (16.2995021 48.1741471)
381199,48.1829678,16.2975834,,3,,POINT (16.2975834 48.1829678)
381200,48.1761556,16.2978527,,3,,POINT (16.2978527 48.1761556)
381202,48.1842006,16.3003235,,3,,POINT (16.3003235 48.1842006)
